#{"t_start": 1741120338.229439, "env_id": "ISOEnv-v0"}
r,l,t
-199800.714068,48,1.388337
-198592.398272,48,4.882393
-203112.126204,48,8.31568
-196923.911712,48,11.519589
-204902.77172,48,14.765375
